id,segment,sequence
1_188_0.mat,31,2.0
1_189_0.mat,31,3.0
1_190_0.mat,31,4.0
1_191_0.mat,31,5.0
1_192_0.mat,31,6.0
1_193_0.mat,32,1.0
1_194_0.mat,32,2.0
1_195_0.mat,32,3.0
1_196_0.mat,32,4.0
1_197_0.mat,32,5.0
1_198_0.mat,32,6.0
1_199_0.mat,33,1.0
1_200_0.mat,33,2.0
1_201_0.mat,33,3.0
1_202_0.mat,33,4.0
1_203_0.mat,33,5.0
1_204_0.mat,33,6.0
1_205_0.mat,34,1.0
1_206_0.mat,34,2.0
1_207_0.mat,34,3.0
1_208_0.mat,34,4.0
1_209_0.mat,34,5.0
1_210_0.mat,34,6.0
1_211_0.mat,35,1.0
1_212_0.mat,35,2.0
1_213_0.mat,35,3.0
1_214_0.mat,35,4.0
1_215_0.mat,35,5.0
1_216_0.mat,35,6.0
1_217_0.mat,36,1.0
1_218_0.mat,36,2.0
1_219_0.mat,36,3.0
1_220_0.mat,36,4.0
1_221_0.mat,36,5.0
1_222_0.mat,36,6.0
1_223_0.mat,37,1.0
1_224_0.mat,37,2.0
1_225_0.mat,37,3.0
1_226_0.mat,37,4.0
1_227_0.mat,37,5.0
1_228_0.mat,37,6.0
1_229_0.mat,38,1.0
1_230_0.mat,38,2.0
1_231_0.mat,38,3.0
1_232_0.mat,38,4.0
1_233_0.mat,38,5.0
1_234_0.mat,38,6.0
1_235_0.mat,39,1.0
1_236_0.mat,39,2.0
1_237_0.mat,39,3.0
1_238_0.mat,39,4.0
1_239_0.mat,39,5.0
1_240_0.mat,39,6.0
1_241_0.mat,40,1.0
1_242_0.mat,40,2.0
1_243_0.mat,40,3.0
1_244_0.mat,40,4.0
1_245_0.mat,40,5.0
1_246_0.mat,40,6.0
1_247_0.mat,41,1.0
1_248_0.mat,41,2.0
1_249_0.mat,41,3.0
1_250_0.mat,41,4.0
1_251_0.mat,41,5.0
1_252_0.mat,41,6.0
1_253_0.mat,42,1.0
1_254_0.mat,42,2.0
1_255_0.mat,42,3.0
1_256_0.mat,42,4.0
1_257_0.mat,42,5.0
1_258_0.mat,42,6.0
1_259_0.mat,43,1.0
1_260_0.mat,43,2.0
1_261_0.mat,43,3.0
1_262_0.mat,43,4.0
1_263_0.mat,43,5.0
1_264_0.mat,43,6.0
1_265_0.mat,44,1.0
1_266_0.mat,44,2.0
1_267_0.mat,44,3.0
1_268_0.mat,44,4.0
1_269_0.mat,44,5.0
1_270_0.mat,44,6.0
1_271_0.mat,45,1.0
1_272_0.mat,45,2.0
1_273_0.mat,45,3.0
1_274_0.mat,45,4.0
1_275_0.mat,45,5.0
1_276_0.mat,45,6.0
1_277_0.mat,46,1.0
1_278_0.mat,46,2.0
1_279_0.mat,46,3.0
1_280_0.mat,46,4.0
1_281_0.mat,46,5.0
1_282_0.mat,46,6.0
1_283_0.mat,47,1.0
1_284_0.mat,47,2.0
1_285_0.mat,47,3.0
1_286_0.mat,47,4.0
1_287_0.mat,47,5.0
1_288_0.mat,47,6.0
1_289_0.mat,48,1.0
1_290_0.mat,48,2.0
1_291_0.mat,48,3.0
1_292_0.mat,48,4.0
1_293_0.mat,48,5.0
1_294_0.mat,48,6.0
1_295_0.mat,49,1.0
1_296_0.mat,49,2.0
1_297_0.mat,49,3.0
1_298_0.mat,49,4.0
1_299_0.mat,49,5.0
1_300_0.mat,49,6.0
1_301_0.mat,50,1.0
1_302_0.mat,50,2.0
1_303_0.mat,50,3.0
1_304_0.mat,50,4.0
1_305_0.mat,50,5.0
1_306_0.mat,50,6.0
1_307_0.mat,51,1.0
1_308_0.mat,51,2.0
1_309_0.mat,51,3.0
1_310_0.mat,51,4.0
1_311_0.mat,51,5.0
1_312_0.mat,51,6.0
1_313_0.mat,52,1.0
1_314_0.mat,52,2.0
1_315_0.mat,52,3.0
1_316_0.mat,52,4.0
1_317_0.mat,52,5.0
1_318_0.mat,52,6.0
1_319_0.mat,53,1.0
1_320_0.mat,53,2.0
1_321_0.mat,53,3.0
1_322_0.mat,53,4.0
1_323_0.mat,53,5.0
1_324_0.mat,53,6.0
1_325_0.mat,54,1.0
1_326_0.mat,54,2.0
1_327_0.mat,54,3.0
1_328_0.mat,54,4.0
1_329_0.mat,54,5.0
1_330_0.mat,54,6.0
1_331_0.mat,55,1.0
1_332_0.mat,55,2.0
1_333_0.mat,55,3.0
1_334_0.mat,55,4.0
1_335_0.mat,55,5.0
1_336_0.mat,55,6.0
1_337_0.mat,56,1.0
1_338_0.mat,56,2.0
1_339_0.mat,56,3.0
1_340_0.mat,56,4.0
1_341_0.mat,56,5.0
1_342_0.mat,56,6.0
1_343_0.mat,57,1.0
1_344_0.mat,57,2.0
1_345_0.mat,57,3.0
1_346_0.mat,57,4.0
1_347_0.mat,57,5.0
1_348_0.mat,57,6.0
1_349_0.mat,58,1.0
1_350_0.mat,58,2.0
1_351_0.mat,58,3.0
1_352_0.mat,58,4.0
1_353_0.mat,58,5.0
1_354_0.mat,58,6.0
1_355_0.mat,59,1.0
1_356_0.mat,59,2.0
1_357_0.mat,59,3.0
1_358_0.mat,59,4.0
1_359_0.mat,59,5.0
1_360_0.mat,59,6.0
1_361_0.mat,60,1.0
1_362_0.mat,60,2.0
1_363_0.mat,60,3.0
1_364_0.mat,60,4.0
1_365_0.mat,60,5.0
1_366_0.mat,60,6.0
1_367_0.mat,61,1.0
1_368_0.mat,61,2.0
1_369_0.mat,61,3.0
1_370_0.mat,61,4.0
1_371_0.mat,61,5.0
1_372_0.mat,61,6.0
1_373_0.mat,62,1.0
1_374_0.mat,62,2.0
1_375_0.mat,62,3.0
1_376_0.mat,62,4.0
1_377_0.mat,62,5.0
1_378_0.mat,62,6.0
1_379_0.mat,63,1.0
1_380_0.mat,63,2.0
1_381_0.mat,63,3.0
1_382_0.mat,63,4.0
1_383_0.mat,63,5.0
1_384_0.mat,63,6.0
1_385_0.mat,64,1.0
1_386_0.mat,64,2.0
1_387_0.mat,64,3.0
1_388_0.mat,64,4.0
1_389_0.mat,64,5.0
1_390_0.mat,64,6.0
1_391_0.mat,65,1.0
1_392_0.mat,65,2.0
1_393_0.mat,65,3.0
1_394_0.mat,65,4.0
1_395_0.mat,65,5.0
1_396_0.mat,65,6.0
1_397_0.mat,66,1.0
1_398_0.mat,66,2.0
1_399_0.mat,66,3.0
1_400_0.mat,66,4.0
1_401_0.mat,66,5.0
1_402_0.mat,66,6.0
1_403_0.mat,67,1.0
1_404_0.mat,67,2.0
1_405_0.mat,67,3.0
1_406_0.mat,67,4.0
1_407_0.mat,67,5.0
1_408_0.mat,67,6.0
1_409_0.mat,68,1.0
1_410_0.mat,68,2.0
1_411_0.mat,68,3.0
1_412_0.mat,68,4.0
1_413_0.mat,68,5.0
1_414_0.mat,68,6.0
1_415_0.mat,69,1.0
1_416_0.mat,69,2.0
1_417_0.mat,69,3.0
1_418_0.mat,69,4.0
1_419_0.mat,69,5.0
1_420_0.mat,69,6.0
1_421_0.mat,70,1.0
1_422_0.mat,70,2.0
1_423_0.mat,70,3.0
1_424_0.mat,70,4.0
1_425_0.mat,70,5.0
1_426_0.mat,70,6.0
1_427_0.mat,71,1.0
1_428_0.mat,71,2.0
1_429_0.mat,71,3.0
1_430_0.mat,71,4.0
1_431_0.mat,71,5.0
1_432_0.mat,71,6.0
1_433_0.mat,72,1.0
1_434_0.mat,72,2.0
1_435_0.mat,72,3.0
1_436_0.mat,72,4.0
1_437_0.mat,72,5.0
1_438_0.mat,72,6.0
1_439_0.mat,73,1.0
1_440_0.mat,73,2.0
1_441_0.mat,73,3.0
1_442_0.mat,73,4.0
1_443_0.mat,73,5.0
1_444_0.mat,73,6.0
1_445_0.mat,74,1.0
1_446_0.mat,74,2.0
1_447_0.mat,74,3.0
1_448_0.mat,74,4.0
1_449_0.mat,74,5.0
1_450_0.mat,74,6.0
1_451_0.mat,75,1.0
1_452_0.mat,75,2.0
1_453_0.mat,75,3.0
1_454_0.mat,75,4.0
1_455_0.mat,75,5.0
1_456_0.mat,75,6.0
1_457_0.mat,76,1.0
1_458_0.mat,76,2.0
1_459_0.mat,76,3.0
1_460_0.mat,76,4.0
1_461_0.mat,76,5.0
1_462_0.mat,76,6.0
1_463_0.mat,77,1.0
1_464_0.mat,77,2.0
1_465_0.mat,77,3.0
1_466_0.mat,77,4.0
1_467_0.mat,77,5.0
1_468_0.mat,77,6.0
1_469_0.mat,78,1.0
1_470_0.mat,78,2.0
1_471_0.mat,78,3.0
1_472_0.mat,78,4.0
1_473_0.mat,78,5.0
1_474_0.mat,78,6.0
1_475_0.mat,79,1.0
1_476_0.mat,79,2.0
1_477_0.mat,79,3.0
1_478_0.mat,79,4.0
1_479_0.mat,79,5.0
1_480_0.mat,79,6.0
1_481_0.mat,80,1.0
1_482_0.mat,80,2.0
1_483_0.mat,80,3.0
1_484_0.mat,80,4.0
1_485_0.mat,80,5.0
1_486_0.mat,80,6.0
1_487_0.mat,81,1.0
1_488_0.mat,81,2.0
1_489_0.mat,81,3.0
1_490_0.mat,81,4.0
1_491_0.mat,81,5.0
1_492_0.mat,81,6.0
1_493_0.mat,82,1.0
1_494_0.mat,82,2.0
1_495_0.mat,82,3.0
1_496_0.mat,82,4.0
1_497_0.mat,82,5.0
1_498_0.mat,82,6.0
1_499_0.mat,83,1.0
1_500_0.mat,83,2.0
1_501_0.mat,83,3.0
1_502_0.mat,83,4.0
1_503_0.mat,83,5.0
1_504_0.mat,83,6.0
1_505_0.mat,84,1.0
1_506_0.mat,84,2.0
1_507_0.mat,84,3.0
1_508_0.mat,84,4.0
1_509_0.mat,84,5.0
1_510_0.mat,84,6.0
1_511_0.mat,85,1.0
1_512_0.mat,85,2.0
1_513_0.mat,85,3.0
1_514_0.mat,85,4.0
1_515_0.mat,85,5.0
1_516_0.mat,85,6.0
1_517_0.mat,86,1.0
1_518_0.mat,86,2.0
1_519_0.mat,86,3.0
1_520_0.mat,86,4.0
1_521_0.mat,86,5.0
1_522_0.mat,86,6.0
1_523_0.mat,87,1.0
1_524_0.mat,87,2.0
1_525_0.mat,87,3.0
1_526_0.mat,87,4.0
1_527_0.mat,87,5.0
1_528_0.mat,87,6.0
1_529_0.mat,88,1.0
1_530_0.mat,88,2.0
1_531_0.mat,88,3.0
1_532_0.mat,88,4.0
1_533_0.mat,88,5.0
1_534_0.mat,88,6.0
1_535_0.mat,89,1.0
1_536_0.mat,89,2.0
1_537_0.mat,89,3.0
1_538_0.mat,89,4.0
1_539_0.mat,89,5.0
1_540_0.mat,89,6.0
1_541_0.mat,90,1.0
1_542_0.mat,90,2.0
1_543_0.mat,90,3.0
1_544_0.mat,90,4.0
1_545_0.mat,90,5.0
1_546_0.mat,90,6.0
1_547_0.mat,91,1.0
1_548_0.mat,91,2.0
1_549_0.mat,91,3.0
1_550_0.mat,91,4.0
1_551_0.mat,91,5.0
1_552_0.mat,91,6.0
1_553_0.mat,92,1.0
1_554_0.mat,92,2.0
1_555_0.mat,92,3.0
1_556_0.mat,92,4.0
1_557_0.mat,92,5.0
1_558_0.mat,92,6.0
1_559_0.mat,93,1.0
1_560_0.mat,93,2.0
1_561_0.mat,93,3.0
1_562_0.mat,93,4.0
1_563_0.mat,93,5.0
1_564_0.mat,93,6.0
1_565_0.mat,94,1.0
1_566_0.mat,94,2.0
1_567_0.mat,94,3.0
1_568_0.mat,94,4.0
1_569_0.mat,94,5.0
1_570_0.mat,94,6.0
1_571_0.mat,95,1.0
1_572_0.mat,95,2.0
1_573_0.mat,95,3.0
1_574_0.mat,95,4.0
1_575_0.mat,95,5.0
1_576_0.mat,95,6.0
1_577_0.mat,96,1.0
1_578_0.mat,96,2.0
1_579_0.mat,96,3.0
1_580_0.mat,96,4.0
1_581_0.mat,96,5.0
1_582_0.mat,96,6.0
1_583_0.mat,97,1.0
1_584_0.mat,97,2.0
1_585_0.mat,97,3.0
1_586_0.mat,97,4.0
1_587_0.mat,97,5.0
1_588_0.mat,97,6.0
1_589_0.mat,98,1.0
1_590_0.mat,98,2.0
1_591_0.mat,98,3.0
1_592_0.mat,98,4.0
1_593_0.mat,98,5.0
1_594_0.mat,98,6.0
1_595_0.mat,99,1.0
1_596_0.mat,99,2.0
1_597_0.mat,99,3.0
1_598_0.mat,99,4.0
1_599_0.mat,99,5.0
1_600_0.mat,99,6.0
1_601_0.mat,100,1.0
1_602_0.mat,100,2.0
1_603_0.mat,100,3.0
1_604_0.mat,100,4.0
1_605_0.mat,100,5.0
1_606_0.mat,100,6.0
1_607_0.mat,101,1.0
1_608_0.mat,101,2.0
1_609_0.mat,101,3.0
1_610_0.mat,101,4.0
1_611_0.mat,101,5.0
1_612_0.mat,101,6.0
1_613_0.mat,102,1.0
1_614_0.mat,102,2.0
1_615_0.mat,102,3.0
1_616_0.mat,102,4.0
1_617_0.mat,102,5.0
1_618_0.mat,102,6.0
1_619_0.mat,103,1.0
1_620_0.mat,103,2.0
1_621_0.mat,103,3.0
1_622_0.mat,103,4.0
1_623_0.mat,103,5.0
1_624_0.mat,103,6.0
1_625_0.mat,104,1.0
1_626_0.mat,104,2.0
1_627_0.mat,104,3.0
1_628_0.mat,104,4.0
1_629_0.mat,104,5.0
1_630_0.mat,104,6.0
1_631_0.mat,105,1.0
1_632_0.mat,105,2.0
1_633_0.mat,105,3.0
1_634_0.mat,105,4.0
1_635_0.mat,105,5.0
1_636_0.mat,105,6.0
1_637_0.mat,106,1.0
1_638_0.mat,106,2.0
1_639_0.mat,106,3.0
1_640_0.mat,106,4.0
1_641_0.mat,106,5.0
1_642_0.mat,106,6.0
1_643_0.mat,107,1.0
1_644_0.mat,107,2.0
1_645_0.mat,107,3.0
1_646_0.mat,107,4.0
1_647_0.mat,107,5.0
1_648_0.mat,107,6.0
1_649_0.mat,108,1.0
1_650_0.mat,108,2.0
1_651_0.mat,108,3.0
1_652_0.mat,108,4.0
1_653_0.mat,108,5.0
1_654_0.mat,108,6.0
1_655_0.mat,109,1.0
1_656_0.mat,109,2.0
1_657_0.mat,109,3.0
1_658_0.mat,109,4.0
1_659_0.mat,109,5.0
1_660_0.mat,109,6.0
1_661_0.mat,110,1.0
1_662_0.mat,110,2.0
1_663_0.mat,110,3.0
1_664_0.mat,110,4.0
1_665_0.mat,110,5.0
1_666_0.mat,110,6.0
1_667_0.mat,111,1.0
1_668_0.mat,111,2.0
1_669_0.mat,111,3.0
1_670_0.mat,111,4.0
1_671_0.mat,111,5.0
1_672_0.mat,111,6.0
1_673_0.mat,112,1.0
1_674_0.mat,112,2.0
1_675_0.mat,112,3.0
1_676_0.mat,112,4.0
1_677_0.mat,112,5.0
1_678_0.mat,112,6.0
1_679_0.mat,113,1.0
1_680_0.mat,113,2.0
1_681_0.mat,113,3.0
1_682_0.mat,113,4.0
1_683_0.mat,113,5.0
1_684_0.mat,113,6.0
1_685_0.mat,114,1.0
1_686_0.mat,114,2.0
1_687_0.mat,114,3.0
1_688_0.mat,114,4.0
1_689_0.mat,114,5.0
1_690_0.mat,114,6.0
1_691_0.mat,115,1.0
1_692_0.mat,115,2.0
1_693_0.mat,115,3.0
1_694_0.mat,115,4.0
1_695_0.mat,115,5.0
1_696_0.mat,115,6.0
1_697_0.mat,116,1.0
1_698_0.mat,116,2.0
1_699_0.mat,116,3.0
1_700_0.mat,116,4.0
1_701_0.mat,116,5.0
1_702_0.mat,116,6.0
1_703_0.mat,117,1.0
1_704_0.mat,117,2.0
1_705_0.mat,117,3.0
1_706_0.mat,117,4.0
1_707_0.mat,117,5.0
1_708_0.mat,117,6.0
1_709_0.mat,118,1.0
1_710_0.mat,118,2.0
1_711_0.mat,118,3.0
1_712_0.mat,118,4.0
1_713_0.mat,118,5.0
1_714_0.mat,118,6.0
1_715_0.mat,119,1.0
1_716_0.mat,119,2.0
1_717_0.mat,119,3.0
1_718_0.mat,119,4.0
1_719_0.mat,119,5.0
1_720_0.mat,119,6.0
1_721_0.mat,120,1.0
1_722_0.mat,120,2.0
1_723_0.mat,120,3.0
1_724_0.mat,120,4.0
1_725_0.mat,120,5.0
1_726_0.mat,120,6.0
1_727_0.mat,121,1.0
1_728_0.mat,121,2.0
1_729_0.mat,121,3.0
1_730_0.mat,121,4.0
1_731_0.mat,121,5.0
1_732_0.mat,121,6.0
1_733_0.mat,122,1.0
1_734_0.mat,122,2.0
1_735_0.mat,122,3.0
1_736_0.mat,122,4.0
1_737_0.mat,122,5.0
1_738_0.mat,122,6.0
1_739_0.mat,123,1.0
1_740_0.mat,123,2.0
1_741_0.mat,123,3.0
1_742_0.mat,123,4.0
1_743_0.mat,123,5.0
1_744_0.mat,123,6.0
1_745_0.mat,124,1.0
1_746_0.mat,124,2.0
1_747_0.mat,124,3.0
1_748_0.mat,124,4.0
1_749_0.mat,124,5.0
1_750_0.mat,124,6.0
1_751_0.mat,125,1.0
1_752_0.mat,125,2.0
1_753_0.mat,125,3.0
1_754_0.mat,125,4.0
1_755_0.mat,125,5.0
1_756_0.mat,125,6.0
1_757_0.mat,126,1.0
1_758_0.mat,126,2.0
1_759_0.mat,126,3.0
1_760_0.mat,126,4.0
1_761_0.mat,126,5.0
1_762_0.mat,126,6.0
1_763_0.mat,127,1.0
1_764_0.mat,127,2.0
1_765_0.mat,127,3.0
1_766_0.mat,127,4.0
1_767_0.mat,127,5.0
1_768_0.mat,127,6.0
1_769_0.mat,128,1.0
1_770_0.mat,128,2.0
1_771_0.mat,128,3.0
1_772_0.mat,128,4.0
1_773_0.mat,128,5.0
1_774_0.mat,128,6.0
1_775_0.mat,129,1.0
1_776_0.mat,129,2.0
1_777_0.mat,129,3.0
1_778_0.mat,129,4.0
1_779_0.mat,129,5.0
1_780_0.mat,129,6.0
1_781_0.mat,130,1.0
1_782_0.mat,130,2.0
1_783_0.mat,130,3.0
1_784_0.mat,130,4.0
1_785_0.mat,130,5.0
1_786_0.mat,130,6.0
1_787_0.mat,131,1.0
1_788_0.mat,131,2.0
1_789_0.mat,131,3.0
1_790_0.mat,131,4.0
1_791_0.mat,131,5.0
1_792_0.mat,131,6.0
1_793_0.mat,132,1.0
1_794_0.mat,132,2.0
1_795_0.mat,132,3.0
1_796_0.mat,132,4.0
1_797_0.mat,132,5.0
1_798_0.mat,132,6.0
1_799_0.mat,133,1.0
1_800_0.mat,133,2.0
1_801_0.mat,133,3.0
1_802_0.mat,133,4.0
1_803_0.mat,133,5.0
1_804_0.mat,133,6.0
1_805_0.mat,134,1.0
1_806_0.mat,134,2.0
1_807_0.mat,134,3.0
1_808_0.mat,134,4.0
1_809_0.mat,134,5.0
1_810_0.mat,134,6.0
1_811_0.mat,135,1.0
1_812_0.mat,135,2.0
1_813_0.mat,135,3.0
1_814_0.mat,135,4.0
1_815_0.mat,135,5.0
1_816_0.mat,135,6.0
1_817_0.mat,136,1.0
1_818_0.mat,136,2.0
1_819_0.mat,136,3.0
1_820_0.mat,136,4.0
1_821_0.mat,136,5.0
1_822_0.mat,136,6.0
1_823_0.mat,137,1.0
1_824_0.mat,137,2.0
1_825_0.mat,137,3.0
1_826_0.mat,137,4.0
1_827_0.mat,137,5.0
1_828_0.mat,137,6.0
1_829_0.mat,138,1.0
1_830_0.mat,138,2.0
1_831_0.mat,138,3.0
1_832_0.mat,138,4.0
1_833_0.mat,138,5.0
1_834_0.mat,138,6.0
1_835_0.mat,139,1.0
1_836_0.mat,139,2.0
1_837_0.mat,139,3.0
1_838_0.mat,139,4.0
1_839_0.mat,139,5.0
1_840_0.mat,139,6.0
1_841_0.mat,140,1.0
1_842_0.mat,140,2.0
1_843_0.mat,140,3.0
1_844_0.mat,140,4.0
1_845_0.mat,140,5.0
1_846_0.mat,140,6.0
1_847_0.mat,141,1.0
1_848_0.mat,141,2.0
1_849_0.mat,141,3.0
1_850_0.mat,141,4.0
1_851_0.mat,141,5.0
1_852_0.mat,141,6.0
1_853_0.mat,142,1.0
1_854_0.mat,142,2.0
1_855_0.mat,142,3.0
1_856_0.mat,142,4.0
1_857_0.mat,142,5.0
1_858_0.mat,142,6.0
1_859_0.mat,143,1.0
1_860_0.mat,143,2.0
1_861_0.mat,143,3.0
1_862_0.mat,143,4.0
1_863_0.mat,143,5.0
1_864_0.mat,143,6.0
1_865_0.mat,144,1.0
1_866_0.mat,144,2.0
1_867_0.mat,144,3.0
1_868_0.mat,144,4.0
1_869_0.mat,144,5.0
1_870_0.mat,144,6.0
1_871_0.mat,145,1.0
1_872_0.mat,145,2.0
1_873_0.mat,145,3.0
1_874_0.mat,145,4.0
1_875_0.mat,145,5.0
1_876_0.mat,145,6.0
1_877_0.mat,146,1.0
1_878_0.mat,146,2.0
1_879_0.mat,146,3.0
1_880_0.mat,146,4.0
1_881_0.mat,146,5.0
1_882_0.mat,146,6.0
1_883_0.mat,147,1.0
1_884_0.mat,147,2.0
1_885_0.mat,147,3.0
1_886_0.mat,147,4.0
1_887_0.mat,147,5.0
1_888_0.mat,147,6.0
1_889_0.mat,148,1.0
1_890_0.mat,148,2.0
1_891_0.mat,148,3.0
1_892_0.mat,148,4.0
1_893_0.mat,148,5.0
1_894_0.mat,148,6.0
1_895_0.mat,149,1.0
1_896_0.mat,149,2.0
1_897_0.mat,149,3.0
1_898_0.mat,149,4.0
1_899_0.mat,149,5.0
1_900_0.mat,149,6.0
1_901_0.mat,150,1.0
1_902_0.mat,150,2.0
1_903_0.mat,150,3.0
1_904_0.mat,150,4.0
1_905_0.mat,150,5.0
1_906_0.mat,150,6.0
1_907_0.mat,151,1.0
1_908_0.mat,151,2.0
1_909_0.mat,151,3.0
1_910_0.mat,151,4.0
1_911_0.mat,151,5.0
1_912_0.mat,151,6.0
1_913_0.mat,152,1.0
1_914_0.mat,152,2.0
1_915_0.mat,152,3.0
1_916_0.mat,152,4.0
1_917_0.mat,152,5.0
1_918_0.mat,152,6.0
1_919_0.mat,153,1.0
1_920_0.mat,153,2.0
1_921_0.mat,153,3.0
1_922_0.mat,153,4.0
1_923_0.mat,153,5.0
1_924_0.mat,153,6.0
1_925_0.mat,154,1.0
1_926_0.mat,154,2.0
1_927_0.mat,154,3.0
1_928_0.mat,154,4.0
1_929_0.mat,154,5.0
1_930_0.mat,154,6.0
1_931_0.mat,155,1.0
1_932_0.mat,155,2.0
